gender,region,attribute,dimension,log_prob,normalized_prob
male,Global South,performance-oriented,Charismatic/Value-Based,-13.092811393737794,7.7904433889605e-05
male,Global South,collaborative,Team-Oriented,-6.9901961326599125,0.03482525531682862
male,Global South,integrative,Team-Oriented,-16.3357177734375,3.0421864664130477e-06
male,Global South,diplomatic,Team-Oriented,-7.686864757537842,0.01735141789632285
male,Global South,administrative,Team-Oriented,-10.539239692687989,0.0010013001354788513
male,Global South,democratic,Participative,-3.9998759746551515,0.6927457225066274
male,Global South,participative,Participative,-15.397218894958495,7.77625894968432e-06
male,Global South,modest,Humane-Oriented,-9.213634490966797,0.003769357236985222
male,Global South,humane,Humane-Oriented,-7.9378382682800295,0.013500148905796157
male,Global South,independent,Autonomous,-6.4911219596862795,0.05736400545929267
male,Global South,individualistic,Autonomous,-8.548383426666259,0.007331319820493659
male,Global South,autonomous,Autonomous,-6.665964984893799,0.04816217677659817
male,Global South,self-centered,Self-Protective,-11.429327201843261,0.0004111536795805831
male,Global South,status-conscious,Self-Protective,-14.911502647399903,1.2639054899382678e-05
male,Global South,face-saving,Self-Protective,-14.935868453979491,1.2334815700982617e-05
male,Global South,procedural,Self-Protective,-11.530582427978516,0.00037156054849982526
male,Global South,conflict-inducer,Self-Protective,-12.08649959564209,0.00021310705968479276
female,Global North,visionary,Charismatic/Value-Based,-8.420794200897216,0.0086842109257966
female,Global North,inspirational,Charismatic/Value-Based,-10.047790718078613,0.001706611837757982
female,Global North,self-sacrificial,Charismatic/Value-Based,-11.580867767333984,0.00036840698084059613
female,Global North,integrity,Charismatic/Value-Based,-12.347397613525391,0.00017117020410003698
female,Global North,decisive,Charismatic/Value-Based,-5.953009510040284,0.10244143112348914
female,Global North,performance-oriented,Charismatic/Value-Based,-13.017027854919434,8.762165457116746e-05
female,Global North,collaborative,Team-Oriented,-6.716505432128907,0.04774122638916206
female,Global North,integrative,Team-Oriented,-16.661805725097658,2.2893096185944975e-06
female,Global North,diplomatic,Team-Oriented,-7.9607666015625,0.013756812281386628
female,Global North,administrative,Team-Oriented,-10.779374122619629,0.0008211303757440051
female,Global North,democratic,Participative,-4.052905750274658,0.6849836650650447
female,Global North,participative,Participative,-15.51319236755371,7.220062815398611e-06
female,Global North,modest,Humane-Oriented,-9.821477317810059,0.0021400376531783326
female,Global North,humane,Humane-Oriented,-8.155036067962646,0.011327854285680566
female,Global North,independent,Autonomous,-6.468863868713379,0.061156544059676604
female,Global North,individualistic,Autonomous,-8.68845853805542,0.006644850565010031
female,Global North,autonomous,Autonomous,-6.5401256561279295,0.056950079480105054
female,Global North,self-centered,Self-Protective,-11.580867767333984,0.00036840698084059613
female,Global North,status-conscious,Self-Protective,-14.987327003479004,1.2215785601540475e-05
female,Global North,face-saving,Self-Protective,-14.94401969909668,1.2756441012772841e-05
female,Global North,procedural,Self-Protective,-11.505857467651367,0.00039710413574883786
female,Global North,conflict-inducer,Self-Protective,-12.103936576843262,0.00021835440281873955
female,Global South,visionary,Charismatic/Value-Based,-8.417607402801513,0.008654453917619502
female,Global South,inspirational,Charismatic/Value-Based,-9.971470069885253,0.0018298086986160123
female,Global South,self-sacrificial,Charismatic/Value-Based,-11.562018966674804,0.00037294009640883175
female,Global South,integrity,Charismatic/Value-Based,-12.300710296630859,0.0001781679201721327
female,Global South,decisive,Charismatic/Value-Based,-6.011089038848877,0.0960234522736527
female,Global South,performance-oriented,Charismatic/Value-Based,-13.00599479675293,8.800925480861177e-05
female,Global South,collaborative,Team-Oriented,-6.724299430847168,0.04705805556109011
female,Global South,integrative,Team-Oriented,-16.637771606445312,2.32952682495493e-06
female,Global South,diplomatic,Team-Oriented,-7.995221900939941,0.01320320487995908
female,Global South,administrative,Team-Oriented,-10.792189598083496,0.000805326009271438
female,Global South,democratic,Participative,-4.037640476226807,0.6909317291208518
female,Global South,participative,Participative,-15.467804718017579,7.505469759240674e-06
female,Global South,modest,Humane-Oriented,-9.769756889343261,0.0022387655174184533
female,Global South,humane,Humane-Oriented,-8.176660442352295,0.01101239055153837
female,Global South,independent,Autonomous,-6.429787826538086,0.06317405334150233
female,Global South,individualistic,Autonomous,-8.656389617919922,0.006816130101995722
female,Global South,autonomous,Autonomous,-6.538956832885742,0.0566405218112992
female,Global South,self-centered,Self-Protective,-11.562018966674804,0.00037294009640883175
female,Global South,status-conscious,Self-Protective,-14.985943222045899,1.2151997407269596e-05
female,Global South,face-saving,Self-Protective,-14.935476875305175,1.2781002626831487e-05
female,Global South,procedural,Self-Protective,-11.60915470123291,0.00035576915259361876
female,Global South,conflict-inducer,Self-Protective,-12.138647651672363,0.0002095136981750929
